1.903280478762835529e-02,1.163803430166479996e-01,4.111122905071873390e-01,8.389677680154146167e-01,9.890860570883860392e-01,6.736384553447266610e-01,2.650474625996828704e-01,6.024547299993206206e-02,7.910959733930253771e-03,6.001197470123814008e-04
4.860747019719995066e-02,2.284008797881569852e-01,6.200068879809456091e-01,9.722976681385032682e-01,8.808581197537486140e-01,4.610167107835355105e-01,1.393899176903651005e-01,2.434725719117417087e-02,2.456816460489292218e-03,1.432185824773433730e-04
6.252150377482015202e-05,1.236971576954291321e-03,1.413819651625195135e-02,9.335386330462895621e-02,3.561021244242668082e-01,7.847310227317295661e-01,9.990128332490111340e-01,7.347258169584227616e-01,3.121645064994304497e-01,7.662063218049353086e-02
1.432185824773433730e-04,2.456816460489285280e-03,2.434725719117411535e-02,1.393899176903650172e-01,4.610167107835355105e-01,8.808581197537486140e-01,9.722976681385033793e-01,6.200068879809460531e-01,2.284008797881571518e-01,4.860747019719995066e-02
2.294365487308774109e-05,5.351576157695867681e-04,7.211154611072779184e-03,5.613476283413370432e-02,2.524427863338187805e-01,6.558401887477508518e-01,9.843217347761177294e-01,8.534539872746094158e-01,4.274911581431147245e-01,1.237024067768548868e-01
2.103925029130745538e-03,2.154791983406497552e-02,1.274924391743610108e-01,4.357802031543158705e-01,8.605072860318537797e-01,9.816249645891843567e-01,6.469051754643523333e-01,2.462859541854377499e-01,5.416798135939897979e-02,6.882554295215651333e-03
2.971334159503143460e-02,1.610286725459805501e-01,5.041490089542344233e-01,9.118399394242836520e-01,9.527573147659876840e-01,5.751087307400823967e-01,2.005495157239078896e-01,4.040147887416326022e-02,4.701937969754977492e-03,3.161262184574415508e-04
4.701937969754965349e-03,4.040147887416317002e-02,2.005495157239076121e-01,5.751087307400821746e-01,9.527573147659874619e-01,9.118399394242837630e-01,5.041490089542347564e-01,1.610286725459809110e-01,2.971334159503148664e-02,3.167406231072471701e-03
2.342648057370703973e-01,6.289843936107190059e-01,9.756109800648459229e-01,8.742134361460327519e-01,4.525455123979105210e-01,1.353352832366127301e-01,2.338103853835385437e-02,2.333568465019675384e-03,1.345492510803396270e-04,4.481733314208731095e-06
1.199987025403255886e-01,4.192677499284887532e-01,8.462727428586203082e-01,9.868093062370324464e-01,6.647526967733159431e-01,2.586967467018849165e-01,5.816018971493933098e-02,7.553785526129542204e-03,5.667708074866483706e-04,2.456712210054841225e-05
